OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
9422;8,20031E+18;8;2;35;79;2020;3;12;1;2;4;1;0;0;1;0;1;0;0;466323,107;5396082,36;8,542160557;48,71686018;0
9423;8,20031E+18;8;2;37;54;2020;3;12;1;2;0;7;0;1;0;0;0;0;0;461988,2442;5374734,514;8,485186855;48,52456901;0
9424;8,20031E+18;8;2;25;52;2020;3;1;1;3;4;1;2;0;1;0;0;0;0;510131,0577;5480151,504;9,139842821;49,47392643;0
9425;8,20032E+18;8;3;17;96;2020;3;7;2;3;5;2;0;0;1;0;0;0;0;424231,8161;5375814,208;7,973699661;48,53085873;0
9426;8,20031E+18;8;1;11;0;2020;3;20;7;3;0;6;2;0;1;0;0;0;0;514055,8741;5403973,194;9,191362502;48,78859691;1
9427;8,20032E+18;8;2;16;17;2020;3;14;1;2;4;6;0;0;1;0;1;0;0;450625,6498;5401267,495;8,328144176;48,76245703;0
9428;8,20031E+18;8;2;26;31;2020;3;5;1;3;8;1;2;0;1;0;0;0;0;473328,8909;5493624,139;8,630940699;49,594606;0
9429;8,20031E+18;8;2;16;17;2020;3;12;1;3;2;6;0;0;1;0;0;0;0;451720,749;5402796,018;8,342865178;48,77629259;0
9430;8,20032E+18;8;4;36;81;2020;3;11;1;2;3;6;0;1;1;0;0;0;0;565127,7231;5291659,995;9,869308583;47,77501095;0
9431;8,20031E+18;8;2;15;94;2020;3;9;1;3;1;7;0;1;1;0;0;0;0;486275,5969;5439067,666;8,811967834;49,10430199;0
9432;8,20031E+18;8;2;15;64;2020;3;14;1;3;0;1;0;1;0;0;0;0;0;477630,3281;5451331,356;8,692842716;49,21436311;0
9433;8,20031E+18;8;2;12;0;2020;3;13;1;3;3;6;0;0;1;0;0;0;1;458819,5723;5425188,347;8,437227765;48,97823039;0
9434;8,20031E+18;8;2;15;7;2020;3;2;1;2;8;1;2;0;1;0;0;0;0;475008,276;5430822,598;8,658110562;49,02978006;0
9435;8,20031E+18;8;1;28;64;2020;3;10;1;3;0;1;0;0;0;0;1;0;0;533807,646;5504268,793;9,468725647;49,68999036;0
9436;8,20031E+18;8;1;21;0;2020;3;22;1;3;2;6;2;0;1;0;0;0;0;516238,5929;5444490,643;9,222696121;49,1530223;1
9437;8,20031E+18;8;1;11;0;2020;3;12;7;3;3;7;0;0;1;0;1;0;0;513402,7864;5402609,859;9,18242669;48,77634689;0
9438;8,20031E+18;8;1;18;48;2020;3;15;1;2;6;7;0;0;1;1;0;0;0;514201,9184;5416371,434;9,193780629;48,9001258;0
9439;8,20031E+18;8;1;18;80;2020;3;13;1;3;3;6;0;0;1;0;1;0;0;509229,6368;5411796,378;9,125832377;48,85906362;0
9440;8,20031E+18;8;4;36;64;2020;3;11;6;3;3;6;0;0;1;0;0;0;0;545864,3573;5293227,099;9,61236991;47,79076954;0
9441;8,20031E+18;8;1;17;23;2020;3;15;1;2;0;7;0;0;0;0;1;0;0;549422,1744;5386450,651;9,67073353;48,62916869;0
9442;8,20031E+18;8;1;16;81;2020;3;17;1;3;2;7;0;0;1;0;0;0;0;517758,0229;5385987,242;9,240990832;48,62670068;0
9443;8,20031E+18;8;4;26;21;2020;3;11;6;3;3;6;0;0;1;0;0;0;0;559382,7389;5327646,755;9,797598088;48,09931802;0
9444;8,20031E+18;8;1;11;0;2020;3;17;1;3;2;6;0;0;1;0;0;0;0;515089,9416;5403134,943;9,205409858;48,78103186;0
9445;8,20031E+18;8;4;37;104;2020;3;8;7;3;8;1;0;0;0;0;0;0;1;511952,0611;5331337,144;9,160645088;48,13517612;0
9446;8,20031E+18;8;4;36;52;2020;3;13;7;3;8;7;0;0;1;0;0;0;0;567459,5502;5294294,564;9,900838806;47,79847268;0
9447;8,20032E+18;8;2;36;19;2020;3;7;2;3;4;1;0;0;1;0;0;0;0;490040,5195;5409132,467;8,864282093;48,83508824;0
9448;8,20031E+18;8;4;26;73;2020;3;11;6;3;4;6;0;0;1;0;0;0;1;564776,1887;5337562,583;9,87154065;48,18799445;0
9449;8,20031E+18;8;4;26;21;2020;3;13;7;2;0;3;0;0;1;0;0;0;0;557838,9902;5329205,951;9,777076683;48,11348689;0
9450;8,20032E+18;8;4;17;2;2020;3;17;1;3;5;3;0;1;1;0;0;0;0;488950,248;5347398,001;8,851064248;48,27968923;0
9451;8,20031E+18;8;4;21;0;2020;3;15;7;3;2;6;0;0;1;0;0;0;0;573133,3393;5356838,045;9,987302003;48,360478;0
